file_name,prn,name,award,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50
10000093_Accrington and Rossendale College_Submission.txt,10000093,Accrington and Rossendale College,Bronze,0.011822892133773,0,0.0176165803108808,0.0283560998586905,0.00852567121997174,0.00023551577955723,0.0114460668864814,0,0.0300047103155911,0.00160150730098917,0.00230805463966086,0.0163918982571832,0.0121055110692416,0.0491756947715497,0.0209609043805935,0.0353273669335846,0.0029674988224211,0.00635892604804522,0,0,0,0.0296278850682996,0,0.000942063118228921,0.0211022138483278,0.000518134715025907,0.0369288742345737,0.00993876589731512,0.0346679227508243,0.0492699010833726,0.0995289684408855,0.0246820536975977,0.0427225624116816,0.0341968911917098,0.0113047574187471,0.055016486104569,0.0347621290626472,0.00993876589731512,0.00263777673104098,0.0216203485633537,0.0405087140838436,0.00494583137070184,0.0242581252943947,0,0.036646255299105,0.0298634008478568,0.01530852567122,0.0584550164861046,0.00301460197833255,0.0123881300047103
10000275_Amersham & Wycombe College_Submission.txt,10000275,Amersham & Wycombe College,Bronze,0.00672379696769941,0.0011865524060646,0.0222148978246539,0.0185234014502307,0.00613052076466711,0.0172050098879367,0.0038892551087673,0.0102175346077785,0.00962425840474621,0.0188529993408042,0,0.00481212920237311,0,0.0029004614370468,0.0290705339485827,0.0154911008569545,0.0304548450889914,0.000856954515491101,0,0,0.000461437046802901,0.057811470006592,0,0.0174027686222808,0,0,0.00863546473302571,0.0763348714568227,0.0357943309162821,0.0325642715886618,0.112854317732367,0.0463414634146341,0,0.0442979564930784,0.0011865524060646,0.0352669742913645,0.00573500329597891,0.0334871456822676,0.0129861568885959,0.0263019116677653,0.0219512195121951,0.0334871456822676,0.03955174686882,0.0127883981542518,0,0.057152274225445,0.0176664469347396,0.0038233355306526,0.0169413315754779,0.0510217534607779
10000415_Askham Bryan College_Submission.txt,10000415,Askham Bryan College,Bronze,0.0469909315746084,0,0.0356141797197032,0.0619950535861501,8.24402308326463e-05,0,0.00189612530915087,0.0255564715581204,0.0370981038746909,0.00140148392415499,0.0226710634789777,0.0044517724649629,0.00469909315746084,0.0152514427040396,0.00708985985160759,0.00354492992580379,0.0200329760923331,0.0381698268755153,0,0,0,0,0,0,0.0212695795548228,0,0.0170651277823578,0.0402308326463314,0.00502885408079143,0.0271228359439406,0.143363561417972,0.0504534212695796,0,0.0334707337180544,0.0104699093157461,0.0275350370981039,0.0633140972794724,0,0.0408079142621599,0.0305028854080791,0.0342126957955482,0,0.0267930750206101,0,0.0150041220115416,0.0206100577081616,0.0227535037098104,0.0164880461665293,0,0.0269579554822754
10000473_Aylesbury College_Submission.txt,10000473,Aylesbury College,Bronze,0.01408,0.00208,0.00312,0.00988,0.03428,0.0256,0.01032,0,0.0626,0.00076,0.00108,0.00632,0.00052,0.0104,0.03412,0.02592,0.0218,0.00212,0,0.00028,0,0.0282,0,0.00116,0.01848,0,0.01124,0.04644,0.01068,0.01068,0.11796,0.05292,0,0.05592,0.08976,0.03036,0.04156,0.00996,0.00072,0.00452,0.01824,0.00084,0.02504,0.00868,0.0156,0.06132,0.01704,0.0264,0,0.031
10000721_Bishop Burton College_Submission.txt,10000721,Bishop Burton College,Bronze,0.0531491162559124,0,0.0316903161563356,0.0550908638287279,0.00181727657455813,0,0.0103310928553647,0.00166791137664924,0.0466268359472243,0.0122479462285288,0.00328603435399552,0.00368434154841922,0.0125964650236495,0.0268110530246453,0,0.050336071695295,0.0319641523525019,0.00828976848394324,0.000448095593726662,0.0011949215832711,0,0.019915359721185,0,0,0.0117251680358476,0,0.0053024645257655,0.0419467264127458,0.0383370674632811,0.040403286034354,0.0590988299726164,0.0464276823500124,0,0.0226288274831964,0,0.0831217326362958,0.0328105551406522,0.00776699029126214,0.0482698531242221,0.0100572566591984,0.0282051282051282,0.000298730395817775,0.00973363206372915,0,0.0372915110779188,0.0723176499875529,0.0203385611152601,0.00308688075678367,0,0.00968384366442619
10000747_Blackburn College_Submission.txt,10000747,Blackburn College,Bronze,0.0212266112266112,0,0.0327234927234927,0.0345322245322245,0.008004158004158,0.00902286902286902,0.0181288981288981,0.00101871101871102,0.0562785862785863,0.00532224532224532,0.00143451143451143,0.00297297297297297,0.0123076923076923,0.024012474012474,0.0123284823284823,0.108128898128898,0.0143035343035343,0.0181704781704782,0.00247401247401247,0,0,0.00293139293139293,0,0.00264033264033264,0.0163201663201663,0,0.0129313929313929,0.0433679833679834,0.0253638253638254,0.10010395010395,0.0711850311850312,0.0324948024948025,0.00162162162162162,0.0161538461538462,0.00257796257796258,0.0329313929313929,0.0426403326403326,0.0317463617463617,0.000727650727650728,0.025966735966736,0.0263201663201663,2.07900207900208e-05,0.0126403326403326,0,0.00952182952182952,0.0470686070686071,0.0143243243243243,0.0172972972972973,0.000457380457380457,0.0282536382536383
10000840_Bradford College_Submission.txt,10000840,Bradford College,Bronze,0.059621451104101,0,0.0245425867507886,0.104731861198738,0.0120504731861199,0.0169085173501577,0.0558990536277603,0.0205678233438486,0.0185488958990536,0.0263722397476341,0,0.00378548895899054,0.0101577287066246,0,0,0,0.00473186119873817,0.0149526813880126,0.0255520504731861,0.00637223974763407,0,0.00757097791798107,0,0,0.0143217665615142,0,0.00605678233438486,0.0150788643533123,0,0,0.0625867507886435,0.0171608832807571,0,0.0150788643533123,0.00365930599369085,0.0212618296529968,0.0173501577287066,0.0089589905362776,0.00145110410094637,0.0270662460567823,0.0949526813880126,0,0.0016403785488959,0.0533753943217666,0.0264353312302839,0.0798107255520505,0.0211356466876972,0.0912933753943218,0,0.0089589905362776
10000936_The British School of Osteopathy_Submission.txt,10000936,The British School of Osteopathy,Bronze,0.0222678871660751,0.00110218569026714,0.0297029702970297,0.0343732486456193,0.0073043153371941,0.0168877265084999,0.00851858770782739,0,0.0516345974220064,0.0109284513356996,0,0.0562861946572016,0.0167009153745563,0.000691201195591257,0.0048384083691388,0.026956846628059,0.0364094900056043,0.00960209228470017,0.00332523818419578,0.000242854474126658,0.10407248271997,0.0128526060153185,0,0.000336260041098449,0.000653838968802541,0,0.00868671772837661,0.0211843825892023,0.0212404259293854,0.033682047450028,0.000560433401830749,0.0490005604334018,0,0.0601905473566225,0.000709882308985616,0.0367083878199141,0.0257986175976088,0.0119745936857837,0.00487577059592752,0.0201382402391183,0.0317205305436204,0,0.0267326732673267,0,0.0228656827946946,0.0446852232393051,0.0269194844012703,0.00470764057537829,0,0.0919297590136372
10000952_BMC (Brooksby Melton College)_Submission.txt,10000952,BMC (Brooksby Melton College),Bronze,0.0150622134905043,0,0.00759659462999345,0.0161755075311067,0.00504256712508186,0.00399476096922069,0.0596594629993451,0,0.0155206286836935,0.0229862475442043,0.00412573673870334,0,0.00838244924688932,0,0,0.00392927308447937,0.00484610347085789,0,0.00275049115913556,0,0,0.0662737393582187,0,0.00386378519973805,0.0880157170923379,0,0.112966601178782,0.0364767518009168,0.010150622134905,0.02920759659463,0.0593975114603798,0.0292730844793713,0,0.0175507531106745,0,0.0378519973804846,0.00235756385068762,0.026981008513425,0.0347740667976424,0.0107400130975769,0.0472167648984938,0.0605762933857236,0.0137524557956778,0.00261951538965291,0.0525212835625409,0.0116568434839555,0.0349705304518664,0.0102161100196464,0.0104780615586117,0.0200392927308448
10000975_Buckinghamshire New University_Submission.txt,10000975,Buckinghamshire New University,Bronze,0.0346185533036744,0.000296589223924864,0.065793376173999,0.0175317185697809,0.0186521667490526,0.0530400395452299,0.048311089141539,0,0.0292964244521338,0.00673916625473719,0.019327731092437,0,0.0420991926182238,0.00902949415060142,0.0058493985829626,0.00916131158345691,0.0155874114351623,0.0668643928159499,0.00474542758279783,0,0.000362497940352612,0.0098698302850552,0,0,0.00454770143351458,0,0.00622837370242215,0.0445048607678365,0.00664030318009557,0.0108090294941506,0.0140220794200033,0.0225243038391827,0.00347668479156368,0.0360520678859779,0.0131158345691218,0.0146646894051738,0.0380458065579173,0.0393969352446861,0.000395452298566485,0.0360850222441918,0.0388861426923711,0,0.0183226231669138,0.0328060636019114,0.0443071346185533,0.0596309111880046,0.0357225243038392,0.00645905420991926,0.00021420332839018,0.0159663865546218
10001116_Cambridge Regional College_Submission.txt,10001116,Cambridge Regional College,Bronze,0.00945674044265594,0,0,0.0871227364185111,0,0.00925553319919517,0.0678068410462777,0.0148893360160966,0.0354124748490946,0.0277665995975855,0.00603621730382294,0.0152917505030181,0.00784708249496982,0.0233400402414487,0.00945674044265594,0.00905432595573441,0.00543259557344064,0.0665995975855131,0,0,0,0,0,0,0,0,0.0661971830985915,0.0577464788732394,0,0,0.093158953722334,0,0,0,0.00221327967806841,0,0.00382293762575453,0,0,0.0690140845070423,0.0164989939637827,0.00945674044265594,0.00885311871227364,0.000201207243460765,0.00100603621730382,0.119718309859155,0,0.157344064386318,0,0
10002005_Doncaster College_Submission.txt,10002005,Doncaster College,Bronze,0.0195792493425771,0.00207984699976094,0.0223284723882381,0.0265837915371743,0.0172364331819268,0.00396844370069328,0.0114750179297155,0,0.0535978962467129,0.00207984699976094,0.00136265837915372,0.00107578293091083,0.00619172842457566,0.0190533110207985,0.00645469758546498,0.034401147501793,0.0196748744919914,0.0240497250776954,0.00234281616065025,0.000621563471192924,0,0.0220894095147024,0.0259144154912742,0.000525938321778628,0.0181209658140091,0.000932345206789386,0.0174754960554626,0.0245756633994741,0.0169973703083911,0.0611522830504423,0.0664355725555821,0.0460913220176907,0,0.0339469280420751,0.00356203681568252,0.0370786516853933,0.0487688262012909,0.0159454936648339,0,0.0220655032273488,0.0378436528807076,0.00561797752808989,0.031986612479082,0.000621563471192924,0.0335405211570643,0.0527372699019842,0.015658618216591,0.0422424097537652,0.00466172603394693,0.0392541238345685
10002126_East Riding College_Submission.txt,10002126,East Riding College,Bronze,0.039016974917659,0.000506713959969597,0.0152267544970864,0.0284266531542944,0,0.000532049657968077,0.0162908538130226,0,0.0271852039523689,0.00762604509754244,0.0324296934380542,0.00549784646567013,0.00438307575373702,0.0430453508994173,0.00988092221940714,0.0421586014694705,0.0198378515328097,0.00684063845958956,0.00233088421586015,0,0,0.0911071700025336,0,0,0.0392449961996453,0,0.0279706105903218,0.0312135799341272,0.0978211299721307,0.0343552064859387,0.0824676969850519,0.00481378261971117,0,0.0257917405624525,0.00220420572586775,0.018267038256904,0.00914618697745123,0.00319229794780846,0.000684063845958956,0.00813275905751203,0.00605523182163669,0.0124144920192551,0.0136052698251837,0.00235621991385863,0.0353432987078794,0.0219153787686851,0.0273372181403598,0.0869521155307829,0.000380035469977198,0.0160121611350393
10002412_Farnborough College of Technology_Submission.txt,10002412,Farnborough College of Technology,Bronze,0.0184834123222749,0,0.0023019634394042,0.0155044008124577,0.0043331076506432,0.0125253893026405,0.00812457684495599,0,0.0168584969532837,0,0.0161814488828707,0.0015572105619499,0,0.0370345294515911,0.0105619498984428,0.00900473933649289,0.0168584969532837,0,0.0127962085308057,0,0,0.0125930941096818,0,0.001354096140826,0.048747461069736,0,0.070209884901828,0.0231550440081246,0.0591062965470548,0.0634394041976981,0.102234258632363,0.0415030467163169,0,0.0612051455653351,0.0018957345971564,0.0466486120514557,0.022342586323629,0.0141503046716317,6.77048070412999e-05,0.0190250507786053,0.0393364928909953,0,0.00683818551117129,0.0037914691943128,0.0329045362220718,0.0352742044685173,0.0253215978334462,0.0385240352064997,0,0.0482058226134056
10002718_Goldsmiths  College_Submission.txt,10002718,Goldsmiths  College,Bronze,0.0724067164179105,0.00375,0.0449067164179105,0.0175559701492537,0.0194776119402985,0.0519216417910448,0.0253544776119403,0.000335820895522388,0.0347388059701493,0.0297574626865672,0.0075,0.0151119402985075,0.0365671641791045,0.0117910447761194,0.000988805970149254,0.0177425373134328,0.0276865671641791,0.0349067164179104,0.00664179104477612,0.00194029850746269,0,0.000578358208955224,0.00402985074626866,0,0.00375,0.0341791044776119,0.011865671641791,0.0387126865671642,0.0066044776119403,0.0166044776119403,0.00705223880597015,0.0263059701492537,0.000242537313432836,0.0369216417910448,0.00421641791044776,0.0146455223880597,0.0533208955223881,0.0107089552238806,0.000242537313432836,0.0399626865671642,0.0309328358208955,0,0.0332835820895522,0,0.0309701492537313,0.051865671641791,0.0406529850746269,0.00552238805970149,0.00751865671641791,0.0282276119402985
10002843_Hadlow College_Submission.txt,10002843,Hadlow College,Bronze,0.0323852772466539,0.000597514340344168,0.00848470363288719,0.0784416826003824,0.00408699808795411,0.00382409177820268,4.78011472275335e-05,0.00222275334608031,0.0318594646271511,0.00788718929254302,0.00303537284894838,0,0.00207934990439771,0.0527963671128107,0.00714627151051625,0.0457456978967495,0.0259082217973231,0.00313097514340344,0,0.000932122370936903,0,0.0138145315487572,0,0.048565965583174,0.0104445506692161,0,0.0206739961759082,0.0198374760994264,0.0599187380497132,0.0666586998087954,0.105568833652008,0.0359942638623327,9.56022944550669e-05,0.0217973231357553,0,0.00671606118546845,0.072848948374761,0.0126434034416826,0.0239244741873805,0.00301147227533461,0.0206739961759082,0.0311424474187381,0.00317877629063098,0,0.00602294455066922,0.0602294455066922,0.0253585086042065,0.00807839388145315,0,0.012189292543021
